text1	text2	labels	predictions	bad_case
一大群人站在建筑物外面。	一群人在一个大城市里溜冰。	2	0	True
两只狗在一座房子和一棵树附近的草地上奔跑。	两只狗正在穿过一个绿色的院子。	4	1	True
一只黑白相间的狗在空中跳来跳去抓飞盘	一只黑白相间的狗在院子里跳。	3	1	True
投手在土墩上投棒球。	在棒球比赛中站在球场中间的男孩。	3	1	True
一个穿着花色比基尼的棕褐色女孩正在深蓝色的水中游泳。	一个穿着花式浴衣的小女孩在海滩的沙滩上跑来跑去。	2	0	True
棕色和黑色的狗在雪地上，露出牙齿，互相吠叫。	一只黑狗和一只棕色的狗在雪地里打架。	3	1	True
一个男人驾驶着蓝色的小船经过色彩鲜艳的房子。	一个男人开着蓝色的小船经过一些五颜六色的房子。	5	3	True
这群人一边吃东西，一边欣赏着令人叹为观止的景色。	一群人在看一棵不寻常的树。	2	0	True
两个穿着传统服装的男人站在外面。	三名身穿黑色背心和灰色衬衫的妇女在一栋楼外聊天。	2	0	True
三个女厨师。	两个女人在做饭。	3	1	True
金发男孩跳上甲板。	一个男孩从湿漉漉的充气滑梯上跳下来。	2	0	True
在钢厂工作的人	在铸造厂工作的人。	3	1	True
路很长。	路边什么也没有。	0	2	True
一个女孩正在用手机和她爸爸通话。	一个女孩正在打电话。	4	1	True
一群青少年跳起来玩得很开心。	一群孩子玩得很开心。	3	1	True
有人在毯子上。	那个人正在做毯子。	1	5	True
两个孩子看着地铁商店里出售的产品。	孩子们在商店里偷东西。	0	2	True
小男孩想要他的母亲。	一个小男孩很高兴见到他的母亲。	2	4	True
一个男人在自行车上表演特技。	一个男人正在骑他的摩托车。	3	1	True
两个工人坐在烟斗旁吃午饭。	建筑工人正坐下来吃午饭。	3	1	True
两个警官在开车	两个军官骑着马。	2	0	True
一个男人在和一个女人一起笑	一男一女笑。	4	1	True
两头牛在一块地里。	两只羊在一块地里。	2	0	True
两个女人沿着人行道走到商店。	下午有两个女人走在人行道上。	3	1	True
僵尸在吃脑子。	僵尸们一起吃肉。	3	1	True
一排小轮车停在一条街的中间。	一排摩托车停在一条街的中间。	4	1	True
一个穿着棕色外套的人在摩擦他的鼻子。	一个留着红色胡须的秃头男子的手紧贴着他的嘴。	2	0	True
我仍然呆在榕树下，每天每两个小时拖拽男人一次，这让我精疲力竭。	我仍然呆在榕树下，每天每两个小时放养一次猫，这让我精疲力竭。	3	1	True
你也能做到。	是的，你能做到的。	5	3	True
你必须决定你想从中得到什么。	你必须知道你想做什么。	4	2	True
我对你没有什么建议：	我有两个建议给你：	4	2	True
越快越好。	尽早开始。	4	1	True
这两个问题的答案都是：是的。	你两个问题的答案都是肯定的。	5	3	True
要回答这个问题，请执行以下操作：	我将回答这个问题：	4	2	True
这不是个好主意。	这听起来是个很糟糕的主意。	4	1	True
这可能要看切成多少块肉了。	这取决于肉和切肉的方式。	4	2	True
你试过问你的员工吗？	你试过问吗？	4	2	True
你们让这一切变得太复杂了。	你把事情搞得太复杂了。	5	3	True
有两件事需要考虑：	有两个可能的原因：	4	2	True
看看这些：	看看这个：	5	3	True
这取决于你下一步想做什么，以及你想在哪里做。	换句话说，这取决于你去哪儿，什么时候去，怎么去。	4	1	True
我对你的问题的回答是“可能不会”。	我认为对你的问题的简短回答是：不。	4	1	True
我也有同样的想法。	我也遇到过同样的问题。	4	2	True
你对此无能为力。	用酸面团起始器你做不了多少。	2	0	True
你在正确的道路上。	你说得对。	4	1	True
这真的取决于雇主是如何证明这一点的。	那要看你怎么说了。	2	0	True
我不明白这有什么问题。	我不明白为什么这会是个问题。	5	3	True
我想你在找米奇(1992)。	我想你在找那部电影	3	1	True
完全没有区别。	不，这没什么区别。	5	3	True
我想问这个问题很好。	我想问这个问题是可以的。	5	2	True
我在这里会很直接的。	我要直截了当地说：你没有。	4	2	True
你应该去做。	你应该先把它装好。	0	2	True
你对此无能为力。	恐怕你能做的并不多。	5	1	True
这完全取决于你的公司和你的合同。	我想这要看你的合同性质了。	4	2	True
我不认为那里有。	我不认为有什么通用的术语。	3	1	True
有几件事你可以做：	在个人层面上，你可以做一些低效的事情。	3	1	True
这就是我所相信的。	是的，我相信这是个好主意。	2	4	True
你怎么做到的？	怎么做？	5	2	True
我觉得你应该做几件事。	有很多事情你需要去做；	4	2	True
我不明白这有什么问题。	我不明白为什么这会是个问题。	5	3	True
你说对了。	知道了。	5	3	True
你怎么做到的？	你该怎么做？	4	2	True
有两件事需要考虑：	有几件事要考虑：	5	2	True
有几件事你可以做：	有几件事你可以试试。	5	2	True
是的，这很常见！	简单的回答是肯定的！	3	1	True
在第一种情况下，我认为你不需要它。	所以我不认为你需要把它放在封面上。	1	3	True
你需要把这个添加到你的简历中，因为这是你唯一的职位。	这使你有机会提出你的案件，你真的有专业知识的XXX。	2	0	True
还有几点值得思考：	有几件事需要考虑：	5	1	True
恐怕这次我们运气不好。	我认为这是其中一件事，你只是运气不好。	5	2	True
你必须决定你想从中得到什么。	你得找出适合你的方法。	4	1	True
我和你有同样的问题。	我也遇到了同样的问题。	5	3	True
这不是个好主意。	不这不是件好事。	4	1	True
我认为没有一个普遍的答案。	我不认为有一个单一的定义。	4	1	True
我对你的问题的回答是“可能不会”。	你的问题的答案不是真的。	4	1	True
希望这就是你要找的。	这就是你要找的东西吗？	4	2	True
有几件事你可以做：	有几件事你需要考虑：	4	2	True
对这一问题和所有类似问题的答复分两个阶段：	这两个问题的答案都是：是的。	1	3	True
没有表格检查，回答这个问题是不可能的。	这是你问题的部分答案。	0	2	True
有几个可能的原因。	画皱纹有几个原因。	3	1	True
这不是个好主意。	这不仅是个好主意，也是个好主意。	1	4	True
我觉得你应该做几件事。	在个人层面上，你可以做一些低效的事情。	4	2	True
我意识到已经有了一个被接受的答案，但我想我应该加我的2美分。	我知道这是一个老问题，但我觉得我应该加上我的2美分。	5	3	True
你可能要做实验，找出你喜欢的东西。	你得找出适合你的方法。	5	2	True
这不是对问题的直接回答，而是需要考虑的问题。	对你的问题不是一个真正的答案，但也许会有帮助。	4	1	True
我同意其他意见。	我同意前面的意见。	5	3	True
这主意糟透了。	这不是个好主意。	5	1	True
昨天，州长格雷·戴维斯(GrayDavis)估计火灾可能会造成近20亿美元的损失。	州官员估计花费近20亿美元。	3	1	True
但该中心说，奥黛特是第一个在12月在加勒比海上空形成的。	这是第一次命名风暴在加勒比发展在12月。	4	1	True
加州公务员退休系统(California Public Employees‘Retirement System)总裁肖恩·哈里根(Sean Harrigan)也建议缩减纽约证交所27名成员的董事会，改变其组成，并使其更负责任。	加州公务员退休系统(California Public Employees‘RetirementSystem)总裁肖恩·哈里根(SeanHarrigan)也建议削减纽约证券交易所(NYSE)由27名成员组成的董事会，并将更多席位分配给证券业以外的投资者。	3	5	True
他的1996年雪佛兰塔霍被发现遗弃在弗吉尼亚海滩，弗吉尼亚州，停车场6月25日。	他的运动型多用途车于6月25日被发现，在弗吉尼亚州维吉尼亚海滩被遗弃，没有牌照。	3	1	True
上个赛季，希特利以41分和89分在联赛中排名第六和第九。	上赛季热火带领亚特兰大攻入41球和48次助攻，创造了球队的最高纪录。	3	1	True
华尔街分析师的共识是每股亏损28美分。	接受First Call调查的分析师预计销售额为7.23亿美元，每股亏损0.28美元。	3	1	True
问：我能马上买到处方药的保险吗？	国会增加了一项新的福利-购买处方药保险的一种选择。	1	3	True
诺克斯县卫生部正在跟踪国家疾病控制和预防中心的协议，以控制感染。	卫生部发言人补充说，卫生部正在遵循美国疾病控制中心(CentersforDiseaseControl)的规定。	3	1	True
布什说：“这些卑鄙的行为是凶手犯下的，他们唯一的信仰就是仇恨。”他补充说，美国会找到凶手的。	这些卑鄙的行为是那些唯一的信仰是仇恨的杀手犯下的，美国将会找到凶手，他们将会明白美国正义的意义。	3	5	True
这笔交易将为HandSpring的每一股普通股授予HandSpring股东0.09股Palm的股份，而不是PalmSource的股份。	根据拟议的交易条款，在PalmSource剥离后，Palm将以0.09股的价格交换HandSpring的每一股份。	3	1	True
这是一个国家关注的问题，将影响到几乎每一个美国人，“亚伯拉罕说。	能源部长斯宾塞·亚伯拉罕昨天警告说，天然气短缺的影响“将影响到几乎每一个美国人”。	3	1	True
在Instinet的盘后交易中，MONY股价上涨2.57美元，至31.90美元，涨幅9%。	纽约股市盘后交易中，Mony股价上涨8.76%，至31.90美元。	3	1	True
与PeopleSoft管理层希望您相信的相反，Oracle打算在未来多年内全力支持PeopleSoft客户和产品。“	埃里森说，与PeopleSoft管理层的观点相反，甲骨文打算在未来多年内“全力支持PeopleSoft的客户和产品”。	4	1	True
它的关键字由中文门户网站支持。	该网站称，中文门户网站也支持3721个关键字。	3	1	True
其次是惠普(27%，29亿美元，仅增长0.4%)。	惠普跌至第二位，服务器销售额增长0.4%，至29亿美元。	4	2	True
美国军队最近在叙利亚边境附近逮捕了大约40名涉嫌外国武装分子，目前正在对他们进行审问。	官员说，第三装甲骑兵团最近在叙利亚边境附近逮捕了大约40名疑似战斗人员。	3	1	True
伤者被送往杰斐逊市和哥伦比亚的医院，这是一个向北30英里的大学城。	伤者被送往北部约48公里的杰斐逊市和哥伦比亚的医院，目前还无法立即得到他们的病情。	4	2	True
除了奥康纳，伦奎斯特法官大卫·苏特(David Souter)、露丝·巴德·金斯伯格(Ruth Bader Ginsburg)和斯蒂芬·布雷耶(Stephen Breyer)也加入了多数意见。	桑德拉·戴·奥康纳法官、戴维·H·苏特法官、露丝·贝德·金斯伯格法官和斯蒂芬·G·布雷耶法官加入了他的多数意见。	3	1	True
现年58岁的马丁因误杀16岁的弗雷德·巴拉斯(FredBarras)而被判处5年徒刑，其中三分之二的刑期将于今日获释。	马丁以误杀巴拉斯和伤害费伦的罪名服了五年刑期的三分之二。	3	1	True
道琼斯工业股票平均价格指数(DowJonesIndustrialAverage)周三上涨111.04，收盘时下跌10.89点，收于9837.94点。	道琼工业指数收跌10.89点，或0.11%，收报9，837.94点；	3	1	True
上周，他的律师请求州长马克·R·华纳(Mark R.Warner)给予宽大处理，但州长拒绝干预。	上周，他的律师要求华纳在某些情况下给予宽大处理，这将导致新的量刑听证会。	3	1	True
她是她所在部队里唯一的妇女，也是当地995工会的一名成员。	她是唯一名受雇为仓库工人和重型设备操作员的妇女，也是当地唯一的女司机。	3	1	True
2001年出生的男孩的预期寿命为74.4岁，自1990年以来增加了两年。	根据该报告，自1990年以来，平均预期寿命增加了近两年。	3	1	True
在整个12个月期间，高速电缆调制解调器连接增加了49%。	在截至2003年6月30日的全年期间，高铁线路增加了45%。	3	0	True
事实上，自称工作狂的威尔说，他计划继续积极参与公司事务。	尽管如此，威尔仍将在公司占据很大的一席之地。	3	1	True
自由摇篮委员会并不是第一个反对这个全国性组织立场的机构。	费城议会并不是第一个违抗国家政策的人。	3	1	True
今年第二季度，阿纳达科预计英国央行将从4，800万欧元降至4，600万欧元。	第二季度的产量从4800万桶降至4600万桶。	3	0	True
该设备播放互联网广播流，并配有30天的里尔网络公司(RealNetworks)狂想曲音乐服务试用版。	该产品还为RealNetworks的Rhapsody数字音乐订阅服务提供了30天的免费试用服务。	5	3	True
布什政府指责侯赛因的效忠者和进入伊拉克与美军作战的外国穆斯林武装分子发动了爆炸和游击队袭击。	布什政府将爆炸和游击队袭击的浪潮归咎于萨达姆的效忠者和进入伊拉克与美国军队作战的外国穆斯林好战分子。	5	1	True
克拉曼在纽约市东部唯一的避暑胜地汉普顿被联邦调查局特工逮捕。	克拉曼星期一早上在纽约的家中被联邦调查局特工逮捕。	4	1	True
西南航空表示，该季度的流量增长了4.6%，并以22亿美元的现金结束了本季度。	西南航空表示，该季度客流量增长4.6%，运力增长4.2%。	3	1	True
针对四个版本的Windows操作系统：Windows NT、Windows 2000、Windows XP和Windows Server 2003。	新蠕虫会影响以下Windows系统：2000、XP、NT 4.0和Server 2003。	3	1	True
一年前，这些肉类、家禽、黄油、奶酪和坚果被扣押在芝加哥的拉格鲁冷藏库(LaGrou ColdStorage)。	这些肉、家禽、黄油、奶酪和坚果被芝加哥的100多家批发商储存起来。	1	3	True
甲骨文的一位女发言人说，截至周二晚上，这些对话还没有进行。	甲骨文公司的一位女发言人说，这些谈判还没有进行。	4	1	True
“萨达姆已经走了，但我们希望(美国)结束占领，”海特居民阿布·卡西姆(Abu Qasim)说。	“萨达姆已经走了，但我们希望(美国)结束占领。”	3	5	True
他拒绝透露搭载空中法警的航班所占比例，也不愿透露这些航班是否会增加。	他拒绝透露有多大比例的国内航班上有保安人员。	3	1	True
资深舞台演员兼银幕演员休姆·克罗宁(HumeCronyn)周日死于癌症。	角色演员休姆·克罗宁(HumeCronyn)于周日在康涅狄格州的家中去世，享年91岁。	3	1	True
该行业最大的协会敦促其成员不要拨打超过5000万的家庭和手机号码。	与此同时，直销协会表示，其会员不应拨打名单上的近5100万电话号码。	3	1	True
五角大楼曾希望保留对战后努力的控制权，因此这一决定是国务卿科林·L·鲍威尔(ColinL.Powell)的胜利。	五角大楼曾希望保留对战后努力的控制权，因此这一决定被一些内部人士视为鲍威尔和国务院的胜利。	3	5	True
美国说准备帮助失明的中国活动家	美国准备帮助中国激进分子：官方	3	1	True
商业报纸新品种上市	好莱坞贸易刊物“综艺”挂牌销售	4	0	True
在阿富汗南部阵亡的英国士兵	两名英国士兵在阿富汗阵亡	3	1	True
丹佛枪击案：警方在嫌疑人家中引爆装置	警方将引爆科罗拉多州枪击嫌疑人家中的爆炸装置	4	2	True
KL股价在下午三点上涨	KL的股价在上午3点左右下跌。	1	4	True
不是一个好的开始：奥朗德的飞机在飞往柏林的途中被闪电击中	法国总统弗朗索瓦·奥朗德的飞机在前往柏林途中被闪电击中	4	1	True
廉价的仿制药不是印度最贫穷的人的灵丹妙药	廉价的抗癌药物不能治愈印度最贫穷的人	3	1	True
马尔代夫前总统的“阿雷斯特逮捕令”	马尔代夫法院对前总统发出逮捕令	4	2	True
巴基斯坦封锁推特反伊斯兰材料	巴基斯坦以“亵渎”为由屏蔽Twitter	3	0	True
马里将投票选举总统	马里总统决选后计票	2	4	True
2名法国记者在马里遇害	两名法国记者在马里遇害	5	2	True
日本隧道坍塌，车辆起火	日本隧道喷出烟雾，车辆“左烧”	4	2	True
批评人士说，普京的安全限制侵犯了他们的权利。	普京关于索契的安全法令引起了批评	3	1	True
德里轮奸受害者在新加坡医院死亡	德里轮奸受害者被送往新加坡医院	3	5	True
节育与更高的青光眼风险相关	避孕药“使青光眼风险加倍”	3	1	True
费雷尔乘船进入澳大利亚公开赛四分之一决赛	费雷尔击败西森晋级澳网1/4决赛	3	1	True
北韩同意会谈	朝鲜、韩国举行罕见会谈	3	1	True
叙利亚总理在炸弹袭击中幸免于难	叙利亚总理在首都遭受炸弹袭击后幸免于难	3	5	True
美国股市期货先于就业报告小幅上涨	股指期货走高，众目睽睽美联储	3	1	True
黎巴嫩持枪歹徒绑架飞行员	持枪歹徒在黎巴嫩绑架两名土耳其航空公司飞行员	4	1	True
马拉拉，斯诺登，白俄罗斯入围Sakharov奖候选名单	逃犯斯诺登入围欧洲人权奖	3	1	True
巴拉迪将出任埃及总理	自由派巴拉迪任命埃及总理，伊斯兰主义者声讨犯规	3	1	True
加拿大批准通往太平洋海岸的石油管道	加拿大政府批准有争议的通往太平洋的输油管道	4	2	True
西南喷气机先撞鼻子	西南航空公司的机头齿轮首先着陆	3	0	True
12人死于巴基斯坦火车上的炸弹爆炸	巴基斯坦西南部持枪歹徒打死9人：警察	2	0	True
希腊暂停国家广播公司	希腊将关闭国家广播公司以节省资金	4	2	True
危地马拉法院裁定前独裁者犯有种族灭绝罪	危地马拉前领导人被判犯有种族灭绝罪	5	3	True
石头加海德公园第二场音乐会	滚石添加第二个海德公园日期	5	1	True
巴基斯坦前总统穆沙拉夫再次被捕	巴基斯坦前军事统治者穆沙拉夫准予保释	3	1	True
空袭造成叙利亚哈马一人死亡	美国无人机袭击巴基斯坦造成11人死亡	2	0	True
新强地震袭击破碎的帕克区	巴基斯坦支离破碎地区6.8级地震	4	2	True
一名英国少年在秋天死于马加鲁夫酒店	一名英国少年在马加鲁夫酒店遇害	5	1	True
以色列确认打击叙利亚目标武器	以色列官员：打击叙利亚目标武器	5	2	True
果阿大楼倒塌死亡人数达15人	印度建筑倒塌死亡人数上升到14人	3	0	True
德克萨斯州工厂爆炸造成100多人受伤	数百人据信在德州化肥厂爆炸中受伤。	4	1	True
AbbVie Sours在550亿美元的夏尔交易(税后)	美国税收改革后，AbbVie在550亿美元的Shire交易中降温	5	1	True
来自阿富汗的武装袭击造成上地尔4人死亡	来自阿富汗的武装袭击杀害了俾路支省的FC士兵	3	1	True
13人在Afgan恐怖袭击中丧生	6人在阿富汗首都清真寺遇袭身亡	2	0	True
猴子在打鼓。	大猩猩打鼓。	2	4	True
一只狗在对着一个玩具吠叫。	小狗对着电子玩具吠叫。	3	1	True
一个孩子醒过来了。	一个女孩醒过来了。	3	1	True
一个女人打开了一扇窗户。	一个女人正望着窗外。	2	4	True
一只橙色和白色的猫躺在黑色皮椅上的毯子上。	一只姜色和白色的猫蜷缩在一张皮椅上睡着了。	3	1	True
鸵鸟的近距离头部。	鸵鸟脸的特写。	4	1	True
一只黄鸟正在铁丝网上吃水果。	一只黄色的鸟在鸟的喂食器上吃水果。	2	4	True
一只白色的鸟，长着橙色的腿，站在湖边。	长着橙色长喙的白色大鸟站在海岸线上。	3	1	True
鸟儿在水中游泳。	鸟儿在水面上低空飞翔。	1	3	True
在市场广场上骑摩托车的几个人。	在城市街道上骑摩托车的人。	4	2	True
穿着黄色独木舟的人在水中划水。	一名男子划着一只黄色的独木舟向岸边划去。	4	2	True
四个人划着船沿河而下。	四个人在水中划独木舟。	4	1	True
2号灰狗正绕着一条小路跑。	一只戴着口罩的灰狗正绕着一条小路跑。	4	1	True
两个人骑着自行车走在一条土路上。	两个人在山上骑自行车。	3	1	True
两只小狗在玩塑料袋。	两只狗在院子里玩耍。	3	1	True
一个人正在进行劳动。	今天有个人要表演。	2	0	True
楼梯下的狗	一只狗正在楼梯上休息。	2	5	True
一个男人抱着一只猫。	一个抱着狗的人。	3	1	True
是的，这可能是一个好主意，更新您的护照。	这是个好主意。	3	1	True
这也是品味的问题。	这绝对只是个偏好的问题。	5	1	True
这木头可能没有腐烂，只是磨坏了。	只是磨损了，不安全。	3	1	True
我觉得你应该做几件事。	有几件事我不明白：	0	2	True
你在正确的道路上。	你走对路了。	5	3	True
情况不同。	这因机构而异。	4	1	True
你有麻烦了。	此事体大。	4	2	True
据报道，前瑞士信贷第一波士顿(CreditSuisse First Boston)科技投资银行大师弗兰克·夸特隆(Frank Quatone)周二对妨碍司法公正和篡改证人的指控不服罪。	纽约-(道琼斯)-前明星投资银行家弗兰克·夸特隆(FrankQuattron)周二对妨碍司法公正和篡改证人的刑事指控不服罪。	4	1	True
但该国正努力阻止艾滋病蔓延到该国13亿人口中的大多数人居住的广大农村地区。	中国正争先恐后地阻止这种疾病向农村蔓延，中国13亿人口中的大多数人生活在农村。	3	1	True
他开玩笑地指责参议院的“小小的税收减免计划”。	我们不需要一个小小的税收减免计划。	3	1	True
桑德兰2-2博尔顿：戴维斯双打拿下特罗特斯一分，但他们仍停留在倒数三名。	桑德兰2-2博尔顿：戴维斯在双打	4	2	True
